Orden;Nombre;Direccion;Postal;Poblacion;Municipio;Provincia;Telefono;Actividad;Aplicacion;MtoHardware;e-mail
281;Pares Carpio, Leonor;Fernando IV, 44;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
282;Rodriguez Duvisón CB;Virgen de Lujan, 50;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
283;Romero Lopez de Tejada, Rosario;Padre Damian, 4;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
284;Saldaña Morales, Margarita;Juan Sebastian Elcano, 20;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
285;Villalba Orellana, Pedro A.;Republica Argentina, 10;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
286;Bono Ungueti, Blanca;Avda. de Finlandia, Manzana 8. Los Bermejales;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
287;Abascal Alonso, Fernando;Avd.Jerez,s/n.Urb.Jardines de Hercules,1ªfase,man2;41012;;Sevilla;SEVILLA;;Farmacia Optica;;;
288;Farmacia García-Miña SC;Reina Mercedes, 17;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
289;Farmacia Hermanos Zambrano CB;Avda. Francia, 59(BIS).Los Bermejales;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
290;Guillén Gea, Antonia María;Avenida de la Raza, 3;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
291;Hidalgo Montaño, Amparo;Dresde,3 esq.Bruselas;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
292;Machuca de Castro, Jesus;Avda. de Suecia. blq.1, local 1. Los Bermejales;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
293;Moron Ledro, Antonio;Paez de Rivera, 12-bajo izquierda-;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
294;Moron Ledro, Ramona;Corbeta, 3. Bda.Elcano;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
295;Núñez Valdés, Rosario;Reina Mercedes, 33;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
296;Farmacia Heliópolis CB;Padre Garcia Tejero, 11;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
297;Farmacia Los Bermejales CB;Po.Europa n 2 esq. Av.Francia (Los Bermejales);41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
298;Sanz Soriano, Juan Antonio;Avd. Alemania, 19 -2 a, manzana 1.6;41012;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
299;Amo Fernandez, Celestino Ign.;Castillo Alcala de Guadaira, 25;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
300;Bejarano Carmona, Concepción;Cantico, 1. Acc. B;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
301;Blanco Fernández-Castaño, Carla Mª;Colombia, 10;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
302;De Miguel Lara, Antonio;Alcalde Juan Fdez.-esquina Avion 4 Vientos 16;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
303;Farmacia Borrego CB;Juan Pablo, 6;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
304;Farmacia García-Montaño CB;Tabladilla, 8;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
305;Farmacia Gómez Rubio CB;Coop.Vvdas.Giralda Sur.Blq.5. Polg.Sur;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
306;Farmacia Murillo CB;Puebla de las Mujeres.;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
307;Farmacia Neto del Rio CB;Castillo de Constantina, 4;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
308;Farmacia Velastegui Tosina CB;Orfebre Cayetano Glez., 2-4 Polg.Sur;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
309;Torres Jiménez, Mª Belén;Genaro Parlade, 10 local B;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
310;Fernández DHerbe, Mª. Amelia;Colombia, 5;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
311;Florido Perez, Maria Reyes;Dña.Clarines s/n-semiesq.C/Almirante To;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
312;Fuentes Castillo, Maria Luisa;P.Jose Sebastian Bandaran B.Murillo;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
313;Govantes Pozo, Marta;Avd. de la Paz, 43;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
314;Hernández del Manzano, José Augusto;Felipe II, 32;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
315;López Benitez, Fernando;Ntra. Sra. de la Oliva, Bloq. 134-135;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
316;López Fernández, Mª. Eugenia;Plaza Vicente Aleixandre, 1, local 2;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
317;Mª Auxiliadora, Rafael y Mª Carmen Laguillo;Bda. La Oliva-Loc. Comerciales 8;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
318;Magaña Suárez, Mª de las Mercedes;Av.Paz-Edif.Giralda-Parc.4.-loc.13 y 14;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
319;Melendez Bello, Carlota;Avda. Letanias 14-15;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
320;Martin Cartes, Rafael;Victoria Domínguez Cerrato, 7 Loc 78 Polg. Sur;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
321;Martin de Oliva Frois, Reyes;Manuel Siurot, 46-Chalet San Agustin;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
322;Montoto Lopez, M.Josefa;Avion Cuatro Vientos, 8;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
323;Morales Millan, Mª Teresa;Bda.Ntra.Sra.Oliva Bl. 59 y 60;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
324;Ojeda García, Francisco Enrique;Porvenir, 29;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
325;Pérez González, Margarita;Guadalimar, 12 acc.Las Palmeras.;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
326;Puerta Puerta, Francisco;Pilar Bardem, 8;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
327;Rider Perez, Esperanza;Avd.Ramón Carande n.5;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
328;Ruiz Millan, Maria Dolores;R.Tamarguillo-Ed.Rocio Sur I-Local 2 y 4;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
329;Tirado Bejarano, Matilde;Felipe II, 17;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
330;Sánchez Galiana y Sánchez Balsera;Manuel Siurot, 3;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
331;Vaquero Prada, Juan Pedro;Ramirez de Bustamante, 22;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
332;Velasco Godoy, Antonia Jesús;Avd. de la Paz, 91;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
333;Farmacia Tiro de Linea CB;Lora del Rio, 26;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
334;Farmacia Guadaira SC;Prolong.Avd.Manuel Siurot, 83;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
335;Farmacia Bami 19 CB;Bami, 19;41013;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
336;Cansino Calvo, Fernando;Asencio y Toledo, 40;41014;Bellavista;Sevilla;SEVILLA;;Oficina de Farmacia;;;
337;Illanes Fraile, Julio Jose;Avda. de Bellavista, 145, local B;41014;Bellavista;Sevilla;SEVILLA;;Oficina de Farmacia;;;
338;Jacinto Marín, Mª: José;Guadalajara, 111 ;41014;Bellavista;Sevilla;SEVILLA;;Oficina de Farmacia;;;
339;Valera Ceres, Ignacio;C/Perséfone esq. a C/Selene, local 1.Edf.Uralita;41014;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
340;Ojeda Casares, Manuel;C/ Traviesa,9, Acc.B, Manzana A-5;41015;;Sevilla;SEVILLA;;Farmacia Optica;;;
341;Arenas Vargas, Manuel;Riopiedra, 3;41015;San Jeronimo;Sevilla;SEVILLA;;Oficina de Farmacia;;;
342;Ceballos Carbonero, Pablo Joaquín;C/ Estrella Betelgeuse, 14 local A acc. 3-D;41015;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
343;Farmacia Salas CB;Huerta Papachinas;41015;San Jeronimo;Sevilla;SEVILLA;;Oficina de Farmacia;;;
344;Gaviño Carabantes, Esperanza Patricia;Mejillon, 6;41015;San Jeronimo;Sevilla;SEVILLA;;Oficina de Farmacia;;;
345;Martin-Hinojosa Torres Linero, Mª.Manuela;Buzón esquina a c/ Estafeta, 2;41015;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
346;Ramírez Liñan, Carlos;Medina y Galnares, 149 accB.;41015;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
347;Ruiz Gutierrez, Joaquin;Navarra, 21;41015;San Jeronimo;Sevilla;SEVILLA;;Oficina de Farmacia;;;
348;Canopus CB;Estrella Canopus, 30;41015;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
349;Farmacia García González CB;Torremejias, 48;41016;;Sevilla;SEVILLA;;Farmacia Optica;;;
350;Barbudo Yuste, María;Mirian, 44-Torreblanca;41016;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
351;González Aguilar, Mª de las Nieves;Torrelaguna, 4;41016;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
352;Perez Ostos, Antonio;C/Torrelaguna, 54 C, esquina C/ Torrella, 40 Torre;41016;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
353;Farmacia Rodríguez Canovas SC;Manuel Barrios Masero, 12 Torreblanca;41017;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
354;Rodríguez-Buzón Morales, Gonzálo Federico;Abedul, 19 Torreblanca;41017;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
355;Abascal Alonso, Moises;Virgen de la Encarnación, 4;41018;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
356;De Miguel Albarreal, Elena;Vermondo Resta-Manzana 3-Junto Edif.Viapol;41018;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
357;Revelles Lirola, Mª Trinidad;Chaves Nogales, 8, acc.B;41018;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
358;Rivero Curado, Juan;Virgen de Valvanera, 13;41018;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
359;Farmacia San Bernardo CB;Juan Mata Carriazo, 5;41018;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
360;González Aguilar, Olga Dolores;Valdezorras.c/ Liebre, 20;41019;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
361;Inmaculada Portero y Javier Baquero;Avda. Ciudad de Chiva 26 Parque Alcosa;41019;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
362;Miro Jodral, M. Dolores;Ildefonso Marañon, 8 Alcosa;41019;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
363;Rangel Garcia, Purificacion;Beata Ana Mª Javouhey.Edif.Averrores III;41019;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
364;López Sola, Juan Antonio;Avenida Emilio Lemos, 32;41020;Sevilla Este;Sevilla;SEVILLA;;Farmacia Optica;;;
365;Acosta Pelaez, José Luis;Fuentemilanos 6 acc B, esquina c/ Barajas 7;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
366;Alonso Buenaposada, José Manuel;Milano Plomizo, local E,número 3;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
367;Arias San Román, Concepción;Urb.Las Gondolas loc.1 ;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
368;Eugenia Morales Cañadas CB;El Alquian nº 9-G;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
369;Farmacia Laboratorio Menacho Herrera CB;C/ Japon nº 26, Accesoria C - Farmacia;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
370;MartÍnez RodrÍguez Colmenares, Francisco I.;Fernanda Calado Rosales, 1 acc D;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
371;Menayo Mariscal CB;Médicos sin Fronteras, 8;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
372;Moya Flores, Marta;C/ Urbano Orad, 9;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
373;Pérez Ruiz, Macarena;Av. de las Ciencias, 18 Acc.G-Urb. Entreflores;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
374;Rico Oliveros, Sofia;Flor de Retama, 2 local 6 y 7.;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
375;Rivas Díaz, Manuel;Flor de Salvia,Res.Azahares,blq.2;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
376;Sánchez Carranza, MªJosé;Cueva Menga,1,B.5,L.10 Las Góndolas M-3;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
377;Farmacia Aleste, SC;Av.de las Ciencias n. 49, Acc. F.;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
378;Farmacia Flor de Azalea CB;Flor de Azalea, 4;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
379;Cortés Jiménez, Juan Pedro;Cueva de la Pileta número 2, Blq. 10, local 19;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
380;Palma del Moral, Juan Miguel;Miguel de Unamuno, 10 acc. E;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
381;Farmacia Sevilla Este SC;Avda. de las Ciencias nº 33, accesoria Acc;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
382;Garcia Garcia, Daniel;Avd.Innovación. Edif.Minister. local 1;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
383;Blasco Lorenzo, Pilar;Urbanización La Moraleja nº 14, acc. A;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
384;Cirera Guiraum, Trinidad;Emilio Lemos nº 21;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
385;Lope Monasterio, Esther;Avd. de las Ciencias, 34. Edif. Feria de Muestras;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
386;Martínez Fernández, Dolores Auxiliadora;Edif.de la Terminal de Salida, Aeropuerto S. Pablo;41020;Aeropuerto ;Sevilla;SEVILLA;;Oficina de Farmacia;;;
387;Moreno Dominguez, Rafael;Hong-Kong, 9. Sevilla Este;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
388;Sanchez Varilla, Josefa;Hockey, 24. Urb. Cortijo Guzman, 64;41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
389;Rodriguez Villalba, Juan J.;Eufrates n. 5 acc. D (Urb.Jardines del Edén);41020;Sevilla Este;Sevilla;SEVILLA;;Oficina de Farmacia;;;
