Orden;Nombre;Dirección;Postal;Poblacion;Municipio;Provincia;Telefono;Actividad;Aplicación;Mto.Hardware;e-mail
23;Soto Diaz, Maria Isabel;Jose Gestoso, 2;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
24;Valdes Sanz, Francisco Javier;Cardenal Spinola, 33;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
25;Vega Olave, Armando;Peris Mencheta, 38;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
26;Farmacia del Pilar CB;Feria, 160;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
27;Farmacia San Vicente SC;San Vicente, 87;41002;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
28;Alvarez Díaz, Jaime;Maria Auxiliadora, 6;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
29;Perez-Solano Vazquez, Rosario;Plz. Encarnacion, 10 y Alcazares, 2;41003;;Sevilla;SEVILLA;;Farmacia Optica;;;
30;Alvarez Delgado, Eva María;Puerta del Osario, 7;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
31;Candau Cruz-Conde, Ma. Auxiliadora;Arrayan, 40;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
32;Carbajal Guerrero, Miguel;Juan Antonio Cavestany, 3;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
33;Carrascosa Moreno, Juan B.;Jose Laguillo,27.Edif.Saturno.Bl.3.loc4;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
34;Farmacia G.Herrera CB;San Hermenegildo, 40;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
35;Farmacia Neto CB;Recaredo, 45;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
36;Farmacia Reyes CB;Amador de los Rios, 31;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
37;Farmacia Villalobos Justo CB;Ronda de Capuchinos, 2;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
38;Fernandez-Peñaranda Perez, Francisco;Plz.Encarnacion, 22;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
39;Lasarte Carrero, Concepción;Plaza Cristo de Burgos, 3;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
40;Pérez Fernández, Manuel;Plza. San Marcos, esq. c/Castellar,loca;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
41;Ramos Palma, Rosalía;Demetrio de los Rios, 3;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
42;Ridruejo Ramírez, María;Gonzalo Bilbao, 20;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
43;Roman Alvarado Jaime;San Julián, 1;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
44;Román Silva, Manuel;Menendez Pelayo, 69;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
45;Sanchez Leon, Maria Jose;Orfila, 11;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
46;Sarmiento Robles, José Luis;Lope de Vega, 2;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
47;Wamba Carnicero, Pedro;Menendez y Pelayo, 31;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
48;Farmacia San Juan de la Palma CB;San Juan de la Palma, 15;41003;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
49;Aguilar Garcia, Concepcion;Plaza Ruiz de Alda.Blq.11;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
50;Alvarez Bernáldez, Susana;Avd. de Cadiz, 6;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
51;Calle Bautista, Jose Antonio;Francos, 17;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
52;Carrasco García, Patricia;Puente y Pellon, 18;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
53;Farmacia Zapata-Holguín CB;Perla, 1;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
54;Galán Parra, Mª. Dolores;Fernando Villalon, 1-Huerta de la Salud;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
55;Illanes Fraile, Amparo;Plaza Alfalfa, 11;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
56;Mª Teresa Iriarte y Marina García;Menendez Pelayo, 12;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
57;Mª Soledad Ramírez y Mª Dolores Saez;A.Cortes Llado 11, Bajo-Izqda.;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
58;Ordoñez Morejón, Mª Victoria;Argote de Molina, 25;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
59;Pérez López, Esperanza Isabel;Santa Maria La Blanca, 11;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
60;Pérez-Solano Rodríguez,Bibiana;Avda.Constitucion, 27;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
61;Rodriguez Cañas, M.Jesus;Mateos Gago, 14;41004;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
62;Rider Perez, Antonio;Villegas y Marmolejos, 7;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
63;Silva Mejías, Marta;Araquil, 1. Bda.El Juncal;41005;;Sevilla;SEVILLA;;Farmacia Optica;;;
64;Alarcón Ceballos, Mª Luisa;Urbion Bloq. 1;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
65;Algora Castro María;Marques de Nervion, 41;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
66;Andrés Martin, José Manuel;Avd. Cruz del Campo, 39;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
67;Biscarri y González CB;Benito Mas y Prat, 5.Los Mundiales.;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
68;Calero Galán, Luisa Rosa;Rio Guadalmedina, 1;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
69;Calvo Ambel, Carmen;Mariano de Benlliure, 81;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
70;Coveñas Peña, Rafael;Luis Montoto, 56;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
71;Farmacia Acuña CB;Divino Redentor, 6;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
72;Farmacia Fernández Saez CB;Eduardo Dato, 41.;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
73;Farmacia Ferrero CB;Marques del Nervion, 103-A;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
74;Farmacia Huerta Infantes CB;Luis Montoto, 146;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
75;Farmacia Reyes Gallego CB;Jose Luis de Casso,7,Esq.Rico Cejudo;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
76;Farmacia Serratosa-Morón SC;Alejandro Collantes,86;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
77;Farmacia Terol CB;Naranco, 6.Bda El Plantinar;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
78;Galdo Seco, Mª. Carmen;Eduardo Dato, 24;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
79;Gomez Cabrera, Isabel;Andrés Bernáldez, 19;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
80;Gutiérrez Aranda, Mª Carmen;Marques de Pickman, 13;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
81;Izquierdo Meroño, Maria Faustina;Gran Plaza, 6-Ac;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
82;María Angeles Fernández e Hija CB;Espinosa y Carcel, 16;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
83;Martín Chaves, Eduardo;Avd. Alcalde Juan Fernández, 15;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
84;Martín-Sacristan Nuñez, Inmaculada;San Juan de Dios, 6;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
85;Martinez Villaseñor de Medina, M Carmen;Plaza Aljarafe, 2;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
86;Recio Mir, Alberto;Avd. Ramon y Cajal, 9;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
87;Peña Peña, Pastora;Avd. Ciudad Jardin, 65;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
88;Ríos Muñoz, Vanesa;Juan de Padilla, 5;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
89;Ramos Muñoz, Mº Angeles;Plaza del Juncal, 1;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
90;Rodriguez Almendros Farmaceuticos SC;Avda.Eduardo Dato, 46;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
91;Romero Candau, Juan;Alfonso XI, 43;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
92;S.L.P. Fercafarma 1988;Luis de Morales, 26 Edificio Estadio;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
93;Sanchez Fernandez, Pilar;Avd. de la Cruz del Campo, 4;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
94;Rodríguez García, Enrique;Juglar, Pasaje, Local 3;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
95;Villamor Urban, Sarah M.;Marqués de Pikman, 65;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
96;Guerrero Blasco, Beatriz;Eduardo Dato, 22.Huerta del Rey.;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
97;Farmacia Prensa CB;Marques de Nervion,91.Edif.La Prensa.;41005;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
98;Palma del Moral, Alejandro;Amor, 11;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
99;Farmacia Santa Aurelia CB;Satsuma, 14;41006;;Sevilla;SEVILLA;;Farmacia Optica;;;
100;Araceli Palomar Santa María;Puerto del Escudo,5;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
101;Aramburu Buzón CB;Ofelia Nieto, 21;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
102;Ariza Toro, Enrique J.;Vasco de Gama, 83;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
103;Bellido Sánchez, José Luis;Candelería, 28;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
104;Bernabeu Bou, Rocio;Juan de Ledesma, 111;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
105;Cabeza Artero, Juan Carlos;Tortola, 4;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
106;Carrillo Herrera, Fernando;Avda. de Hytasa, 97-antigua Heroes de Toledo;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
107;CB Rubio Malo de Molina;Baena, 4 (La Doctora) (La Negrilla);41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
108;Cuesta Gallego, Miguel;Afan de Ribera, 108;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
109;Espina Márquez, Domingo;Chucena, edif.Alcaitán, ES1, PL0, PT2;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
110;Farmacia Aramburu CB;Calandria, 1;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
111;Farmacia Cortes Torres CB;Plz.Moradas, 1;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
112;Farmacia Fernández Vega CB;Avd. los Gavilanes, 38 acc, A;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
113;Farmacia González Hidalgo CB;Avd.Gavilanes. Rochelambert.Bl.14;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
114;Farmacia Montes Berriatua CB;Dña.Francisquita,6.La Rosaleda,Juan XXI;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
115;Monzón Moreno, María de la Paz;Ingeniero La Cierva, 49;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
116;Farmacia Villafranca SC;Candelera - Local 15;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
117;Garcia Trenado, Jose Guillermo;Nescania, 6. La Rosaleda.;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
118;Gonzalez de la Peña Muñoz, Alejandro;Portobelo, 2;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
119;Joya Aranda, Candida;Afan de Ribera, 49;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
120;Machuca González, Marina Paula;Avd. Los Gavilanes, 85 acc.A;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
121;Melendo Arancon, Encarnacion;Hytasa nº 6 (antigua Heroes de Toledo);41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
122;Molina Segovia, Carmen;Fray Luis de Leon, 29;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
123;Molini Estrada, Luis;Maestro Falla, 28;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
124;Murillo Delgado, José Miguel;La Calesera s/n Urb. El Trebol;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
125;Osma Alonso, Pasion;Avda. Hytasa, 57;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
126;Pradas Jiménez, Rafael;Fraternidad, 52;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
127;Prieto Rojas, Manuel;Gorrion, 18;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
128;Real Bueno, Jose Maria;A.San Juan dela Cruz s/n.Bda.N.Sra.Reyes;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
129;Rodrigo Calvo, Beatriz;Párroco Antonio Gómez Villalobos, 62;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
130;Rodrigo Calvo, Rosa Maria;Avda. Parque Amate, 4. Acc.A.Farmacia;41006;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
